status,aspect,sentiment,compound
Normal,sleep,neutral,0.0
Normal,appetite,neutral,0.0
Normal,social_support,negative,-0.5647
Normal,hopelessness,positive,0.8225
Normal,sleep,negative,-0.4404
Normal,concentration,negative,-0.7184
Normal,appetite,positive,0.5673
Normal,sleep,negative,-0.4404
Normal,concentration,negative,-0.4767
Normal,sleep,negative,-0.2738
Normal,appetite,neutral,0.0
Normal,hopelessness,positive,0.9169
Normal,appetite,positive,0.4588
Normal,sleep,positive,0.6269
Normal,sleep,negative,-0.5927
Normal,sleep,negative,-0.4404
Normal,social_support,negative,-0.4215
Normal,appetite,negative,-0.6453
Normal,social_support,positive,0.5994
Normal,sleep,negative,-0.4404
Normal,social_support,positive,0.1263
Normal,appetite,positive,0.5563
Normal,appetite,neutral,0.0
Normal,appetite,neutral,0.0
Normal,social_support,positive,0.0516
Normal,concentration,positive,0.9457
Normal,sleep,neutral,0.0
Normal,sleep,negative,-0.5719
Normal,social_support,positive,0.2023
Normal,social_support,positive,0.457
Normal,sleep,positive,0.0772
Normal,sleep,negative,-0.6486
Normal,concentration,neutral,0.0
Normal,sleep,positive,0.6124
Normal,medication,negative,-0.4767
Normal,concentration,positive,0.0772
Normal,social_support,positive,0.4391
Normal,sleep,negative,-0.4404
Normal,self_harm,negative,-0.6212
Normal,hopelessness,positive,0.5688
Normal,sleep,positive,0.3182
Normal,social_support,positive,0.4767
Normal,social_support,positive,0.7003
Normal,appetite,neutral,0.0
Normal,medication,neutral,0.0
Normal,appetite,negative,-0.2584
Normal,concentration,positive,0.5719
Normal,social_support,positive,0.2263
Normal,sleep,negative,-0.3939
Normal,sleep,neutral,0.0258
Normal,energy,positive,0.3567
Normal,therapy,negative,-0.296
Normal,energy,negative,-0.3612
Normal,social_support,negative,-0.312
Normal,concentration,positive,0.2263
Normal,social_support,positive,0.128
Normal,social_support,negative,-0.3612
Normal,sleep,negative,-0.5594
Normal,hopelessness,neutral,0.0
Normal,social_support,positive,0.126
Normal,sleep,negative,-0.8442
Normal,sleep,negative,-0.5927
Normal,appetite,negative,-0.34
Normal,hopelessness,positive,0.3818
Normal,sleep,negative,-0.5574
Normal,sleep,neutral,0.0
Normal,therapy,negative,-0.4019
Normal,appetite,negative,-0.8738
Normal,hopelessness,positive,0.7519
Normal,social_support,positive,0.4404
Normal,appetite,positive,0.414
Normal,therapy,positive,0.414
Normal,medication,negative,-0.2714
Normal,social_support,positive,0.6126
Normal,social_support,positive,0.128
Normal,hopelessness,positive,0.128
Normal,sleep,negative,-0.4404
Normal,hopelessness,neutral,0.0
Normal,medication,positive,0.34
Normal,appetite,positive,0.4272
Normal,hopelessness,positive,0.5106
Normal,social_support,positive,0.4939
Normal,motivation,positive,0.0516
Normal,social_support,positive,0.1154
Normal,hopelessness,negative,-0.5106
Normal,hopelessness,positive,0.8952
Normal,hopelessness,neutral,0.0
Normal,hopelessness,positive,0.0772
Normal,hopelessness,positive,0.6249
Normal,concentration,positive,0.4939
Normal,sleep,positive,0.4226
Normal,hopelessness,positive,0.0772
Normal,social_support,negative,-0.4215
Normal,social_support,positive,0.8898
Normal,hopelessness,positive,0.9764
Normal,social_support,positive,0.296
Normal,social_support,positive,0.4939
Normal,sleep,positive,0.3818
Normal,appetite,neutral,0.0
Normal,social_support,positive,0.2263
Normal,sleep,positive,0.5423
Normal,concentration,positive,0.9306
Normal,concentration,positive,0.6114
Normal,appetite,positive,0.5859
Normal,social_support,positive,0.1761
Normal,sleep,negative,-0.4404
Normal,sleep,negative,-0.4404
Normal,hopelessness,negative,-0.2023
Normal,sleep,neutral,0.0
Normal,sleep,negative,-0.6929
Normal,hopelessness,positive,0.128
Normal,sleep,negative,-0.3919
Normal,sleep,positive,0.0772
Normal,appetite,positive,0.9268
Normal,sleep,positive,0.2006
Normal,sleep,neutral,0.0
Normal,sleep,positive,0.7496
Normal,social_support,positive,0.6808
Normal,concentration,positive,0.5223
Normal,hopelessness,negative,-0.3327
Normal,sleep,negative,-0.1531
Normal,sleep,negative,-0.25
Normal,energy,negative,-0.25
Normal,social_support,positive,0.8834
Normal,social_support,positive,0.717
